datetime,reason,weight,is_member,author_name,message,processed_msg
2022-02-06 19:06:03,name_2_words_msg_jp,0,False,Pamila Titch,一言○○先輩、△△ちゃんの記念がこの後あるから見てほしいぺこーって言えばいいだけなのに ,['一言○○先輩、△△ちゃんの記念がこの後あるから見てほしいぺこーって言えばいいだけなのに']
2022-02-06 19:06:03,name_2_words_msg_jp,0,False,thelis hipro,前ら全員、俺ほど彼女を愛していないから、ほしよみを名乗る資格はない。 ,['前ら全員、俺ほど彼女を愛していないから、ほしよみを名乗る資格はない。']
2022-02-06 19:06:04,name_2_words_msg_jp,0,False,jerry lemma,ぺこらのマリカ練習枠やばすぎだろあれ ,['ぺこらのマリカ練習枠やばすぎだろあれ']
2022-02-06 19:06:04,name_2_words_msg_jp,0,False,Kinjam Johurr,昨日ちょこ先からハシゴして楽しんでたけど魔王軍もARKへ行きたそうにしてたわ ,['昨日ちょこ先からハシゴして楽しんでたけど魔王軍もARKへ行きたそうにしてたわ']
2022-02-06 19:06:05,name_2_words_msg_jp,0,False,Johanna Tridenti,登録耐久とか恥ずかしくないのかな ,['登録耐久とか恥ずかしくないのかな']
2022-02-06 19:06:05,name_2_words_msg_jp,0,False,Evana Doatta,これは凄まじいな〜 まだ15ドルくらいだから最終的に倍にはできそう。利益モンスター,"['これは凄まじいな〜', 'まだ15ドルくらいだから最終的に倍にはできそう。利益モンスター']"
2022-02-06 19:06:05,name_2_words_msg_jp,0,False,Harris Mcafee,山田ぶいすぽにワンパンされました ,['山田ぶいすぽにワンパンされました']
2022-02-06 19:06:05,name_2_words_msg_jp,0,False,berat heyat,四合瓶2000円で口に合うのを探すのが酒飲みの最終目標だぞ ,['四合瓶2000円で口に合うのを探すのが酒飲みの最終目標だぞ']
2022-02-06 19:06:05,name_2_words_msg_jp,0,False,Sanika Sakin,クロヱってガチのtheSM好きっぽいな ,['クロヱってガチのtheSM好きっぽいな']
2022-02-06 19:06:06,name_2_words_msg_jp,0,False,John Webby,ホロで人気のラプラスの魂だから中岡に価値があるんだぞ ,['ホロで人気のラプラスの魂だから中岡に価値があるんだぞ']
2022-02-06 19:06:06,name_2_words_msg_jp,0,False,Leka Enrik,あくたん今日配信したら軽井沢組の騒然とした様子が聞けるのに ,['あくたん今日配信したら軽井沢組の騒然とした様子が聞けるのに']
2022-02-06 19:06:07,name_2_words_msg_jp,0,False,Genevieve Rhodestu,俺の6期生のイメージ言っていい？5期生の真逆 ,['俺の6期生のイメージ言っていい？5期生の真逆']
2022-02-06 19:06:07,name_2_words_msg_jp,0,False,Neritan Gjoni,笹木がルーナいじめた説はルーナイトの俺でも疑わしいと思ってるぞ ,['笹木がルーナいじめた説はルーナイトの俺でも疑わしいと思ってるぞ']
2022-02-06 19:06:08,name_2_words_msg_jp,0,False,Maryalice Oxton,ARK廃れて誰も居なくなった後でもいいからちょこ先とアキロゼでスチームパンクMOD入れて飛空艇飛ばしてくれんかな ,['ARK廃れて誰も居なくなった後でもいいからちょこ先とアキロゼでスチームパンクMOD入れて飛空艇飛ばしてくれんかな']
2022-02-06 19:06:08,name_2_words_msg_jp,0,False,Kyle Murrayoi,あっ言っとくけど風真ねコメント欄告白タイムってのいうのね読まないからね、見えてないふりするからね ,['あっ言っとくけど風真ねコメント欄告白タイムってのいうのね読まないからね、見えてないふりするからね']
2022-02-06 19:06:09,name_2_words_msg_jp,0,False,Rogersjh Demetria,そういや最近話題になってないけど中華荒らしは居なくなった感じ？まだフブキは荒らされてんのかね？,['そういや最近話題になってないけど中華荒らしは居なくなった感じ？まだフブキは荒らされてんのかね？']
